iter	Passed	Remaining
771	57751	17056
772	57843	16986
773	57916	16910
774	58000	16838
775	58088	16767
776	58155	16690
777	58223	16613
778	58301	16540
779	58386	16468
780	58473	16396
781	58540	16319
782	58609	16243
783	58687	16168
784	58773	16097
785	58856	16024
786	58940	15952
787	59013	15876
788	59105	15806
789	59188	15733
790	59270	15660
791	59354	15587
792	59430	15513
793	59503	15437
794	59586	15365
795	59655	15288
796	59714	15209
797	59798	15136
798	59883	15064
799	59951	14987
800	60020	14911
801	60094	14836
802	60168	14761
803	60245	14686
804	60317	14611
805	60385	14534
806	60476	14463
807	60557	14389
808	60627	14313
809	60694	14236
810	60780	14164
811	60857	14090
812	60929	14014
813	60997	13938
814	61075	13863
815	61146	13787
816	61220	13712
817	61303	13639
818	61368	13562
819	61440	13486
820	61503	13409
821	61582	13335
822	61666	13262
823	61744	13188
824	61813	13111
825	61906	13040
826	61982	12966
827	62054	12890
828	62143	12818
829	62216	12743
830	62294	12668
831	62379	12595
832	62447	12519
833	62524	12444
834	62617	12373
835	62693	12298
836	62760	12222
837	62831	12146
838	62899	12070
839	62974	11995
840	63045	11919
841	63114	11843
842	63194	11769
843	63282	11696
844	63359	11622
845	63445	11549
846	63534	11476
847	63614	11402
848	63682	11326
849	63764	11252
850	63837	11177
851	63916	11102
852	63994	11028
853	64062	10952
854	64140	10877
855	64217	10802
856	64301	10729
857	64376	10654
858	64462	10581
859	64520	10503
860	64607	10430
861	64676	10354
862	64736	10276
863	64806	10200
864	64873	10124
865	64957	10051
866	65035	9976
867	65103	9900
868	65180	9825
869	65254	9750
870	65321	9674
871	65405	9600
872	65489	9527
873	65564	9452
874	65644	9377
875	65737	9305
876	65813	9230
877	65899	9156
878	65965	9080
879	66035	9004
880	66116	8930
881	66187	8855
882	66268	8780
883	66342	8705
884	66410	8629
885	66480	8553
886	66559	8479
887	66628	8403
888	66697	8327
889	66784	8254
890	66861	8179
891	66932	8103
892	67004	8028
893	67074	7952
894	67159	7879
895	67228	7803
896	67293	7727
897	67362	7651
898	67435	7576
899	67504	7500
900	67575	7425
901	67640	7348
902	67712	7273
903	67786	7198
904	67858	7123
905	67957	7050
906	68030	6975
907	68119	6901
908	68188	6826
909	68254	6750
910	68337	6676
911	68402	6600
912	68484	6525
913	68568	6451
914	68644	6376
915	68709	6300
916	68790	6226
917	68874	6152
918	68938	6076
919	69017	6001
920	69089	5926
921	69162	5851
922	69225	5775
923	69320	5701
924	69397	5626
925	69479	5552
926	69558	5477
927	69643	5403
928	69720	5328
929	69785	5252
930	69879	5179
931	69944	5103
932	70013	5027
933	70096	4953
934	70182	4879
935	70253	4803
936	70330	4728
937	70401	4653
938	70499	4579
939	70586	4505
940	70654	4429
941	70721	4354
942	70797	4279
943	70862	4203
944	70935	4128
945	71012	4053
946	71103	3979
947	71172	3903
948	71256	3829
949	71334	3754
950	71404	3679
951	71481	3604
952	71558	3529
953	71653	3454
954	71723	3379
955	71805	3304
956	71876	3229
957	71960	3154
958	72047	3080
959	72130	3005
960	72197	2929
961	72274	2854
962	72354	2779
963	72428	2704
964	72539	2630
965	72631	2556
966	72696	2480
967	72767	2405
968	72841	2330
969	72917	2255
970	72990	2179
971	73081	2105
972	73169	2030
973	73240	1955
974	73319	1879
975	73376	1804
976	73451	1729
977	73519	1653
978	73602	1578
979	73699	1504
980	73771	1428
981	73848	1353
982	73916	1278
983	73992	1203
984	74076	1128
985	74143	1052
986	74207	977
987	74285	902
988	74367	827
989	74440	751
990	74504	676
991	74575	601
992	74668	526
993	74753	451
994	74813	375
995	74893	300
996	74979	225
997	75053	150
998	75146	75
999	75229	0
